content_published_key,content_name,title,type,description,info_source,prompt_de_imagem,status,published_in,published_date,content_calendar_snapshot
content-published--0001,[NEGÓCIOS] Os Primeiros 90 Dias na Gestão de Negócios do Clube,Os Primeiros 90 Dias na Gestão de Negócios do Clube,NEGÓCIOS,"Assumir o departamento de Negócios de um clube de futebol é uma missão de altíssima pressão: você chega com patrocinadores exigindo entregas, jogos toda semana e a busca constante por receita imediata. Diferentemente do ambiente corporativo tradicional, no futebol, ""parar tudo"" para organizar a casa não é uma opção; é preciso estruturar e operar ao mesmo tempo, como ""trocar o pneu com o carro em movimento"".Neste episódio, mergulhamos no Plano Replicável de 90 Dias (12 semanas) que transforma um departamento reativo em um gestor da própria evolução, focado em método e dados",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",17/11/2025,"9,33,54,77"
content-published--0002,[OUTRO] Quem é a BrAIn Sports?,Quem é a BrAIn Sports?,OUTRO,"A BrAIn Sports é um hub de conteúdo esportivo que combina pesquisa séria, análise estruturada e inteligência artificial para explicar o esporte de um jeito simples, profundo e acessível. Neste episódio de abertura, apresentamos a visão por trás do projeto, por que ele existe, como funciona e o que você pode esperar dos nossos vídeos, textos e podcasts. Um espaço para quem gosta de entender o esporte além do placar, com conteúdo inteligente, humano e direto ao ponto.",,,Publicado,Spotify Brain Sports (Podcast),27/11/2025,10
content-published--0003,[GESTÃO] Fair Play Financeiro: o que muda no futebol brasileiro?,Fair Play Financeiro: o que muda no futebol brasileiro?,GESTÃO,"Um episódio rápido e direto explicando como funciona o novo Fair Play Financeiro da CBF. Você vai entender os pilares do sistema, o que será exigido dos clubes e como essas regras podem transformar a gestão do futebol brasileiro nos próximos anos. Tudo explicado de forma clara, objetiva e com apoio de IA.",,,Publicado,"Spotify Brain Sports (Podcast), Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Instagram Brain Sports (Post)",27/11/2025,"11,34,55,78"
content-published--0004,[GESTÃO] Gestão de Clubes em 2026: O Que Realmente Importa na Prática,Gestão de Clubes em 2026: O Que Realmente Importa na Prática,GESTÃO,"Um papo direto sobre o que realmente significa gerir um clube moderno, seus desafios e responsabilidades.",,"Modern editorial cover, abstract football strategy lines, clean dark background, green accents, no faces, title included.",Planejado,,1/6/2026,
content-published--0005,[GESTÃO] Clube Como Startup: Por Que o Esporte Precisa Pensar Como Tech,Clube Como Startup: Por Que o Esporte Precisa Pensar Como Tech,GESTÃO,"Neste episódio, mostramos por que mentalidade de produto, dados e ciclos ágeis deixaram de ser “coisa de startup” e viraram vantagem competitiva para clubes, federações e ligas que querem sobreviver num mercado cada vez mais profissional.",,"Minimalist tech-sports fusion, neural network lines blending with football pitch geometry, dark blue, neon green highlights.",Planejado,,1/6/2026,
content-published--0006,"[GESTÃO] Os 4 Pilares de um Clube Moderno: Esporte, Negócios, Comunidade e Tecnologia","Os 4 Pilares de um Clube Moderno: Esporte, Negócios, Comunidade e Tecnologia",GESTÃO,"Um framework simples para enxergar o clube como sistema: futebol, negócios, comunidade e tecnologia. Explicamos o papel de cada pilar, como eles se conectam e por que ignorar um deles quase sempre cobra a conta no campo e no caixa.",,"Infographic-style cover with four abstract pillars, football geometric texture, dark clean background.",Planejado,,1/6/2026,
content-published--0007,[GESTÃO] Como Montar uma Área de Negócios que Gera Receita em 90 Dias,Como Montar uma Área de Negócios que Gera Receita em 90 Dias,GESTÃO,"Um passo a passo pragmático para estruturar a área de negócios: pessoas, processos, funil comercial, patrocínios, relacionamento B2B e governança. Foco em resultado rápido sem perder visão de longo prazo.",,Business-sports fusion with organizational chart abstract shapes and football lines.,Planejado,,1/6/2026,
content-published--0008,[GESTÃO] Growth no Futebol: Como Escalar Receita Sem Trair a Identidade do Clube,Growth no Futebol: Como Escalar Receita Sem Trair a Identidade do Clube,GESTÃO,"Como aplicar conceitos de growth no futebol para aumentar sócios, receita de matchday e patrocínios sem transformar o clube em um produto genérico. Falamos de testes, métricas e limites saudáveis de crescimento.",,"Abstract growth arrow over football geometry, neon accents, minimal style.",Planejado,,26/3/2026,
content-published--0009,[GESTÃO] Governança no Futebol: Do “Apaga Incêndio” ao Mínimo de Ordem,Governança no Futebol: Do “Apaga Incêndio” ao Mínimo de Ordem,GESTÃO,"Por que governança não é burocracia, e sim um escudo contra decisões ruins. Discutimos conselhos, comitês, papéis e responsabilidades, além de exemplos de boas práticas que cabem em clubes de diferentes portes.",,"Clean governance artwork, blocks representing structure, subtle field lines.",Planejado,,23/3/2026,
content-published--0010,[GESTÃO] SAF na Prática: O Que Muda Dentro do Clube Depois da Transformação,SAF na Prática: O Que Muda Dentro do Clube Depois da Transformação,GESTÃO,"Muito se fala de SAF como modelo jurídico e financeiro, mas o que muda no dia a dia de quem trabalha no clube? Falamos de governança, cobrança por resultado, profissionalização e conflitos inevitáveis dessa transição.",,"Corporate-football fusion with ownership layers in geometric style, dark palette.",Planejado,Instagram Brain Sports (Video Curto),1/6/2026,123
content-published--0011,[GESTÃO] Como Tirar o Planejamento do Papel no Futebol,Como Tirar o Planejamento do Papel no Futebol,GESTÃO,"Planejamento bonito em apresentação todo mundo tem. O episódio mostra como transformar estratégia em rotina: mapa de performance, KPIs, rituais de acompanhamento e correção de rota ao longo da temporada.",,"Strategic map abstract blocks with football textures, green detail.",Planejado,,1/6/2026,
content-published--0012,"[GESTÃO] O ""Camisa 10"" Invisível: Por que a Gestão de Pessoas é o um dos Maiores Desafios do Futebol Brasileiro","O ""Camisa 10"" Invisível: Por que a Gestão de Pessoas é o um dos Maiores Desafios do Futebol Brasileiro",GESTÃO,"Mais do que processos, o que segura um clube de pé é gente. Como liderar em contexto de alta pressão, lidar com conflitos, alinhar expectativas e construir confiança entre diretoria, staff, atletas e torcida.",,Soft editorial human silhouettes in geometric style over subtle sports shapes.,Publicado,"Medium Lucas Oaigen (Artigo), LinkedIn Lucas Oaigen (Post), Spotify Brain Sports (Podcast), Instagram Brain Sports (Post)",24/2/2026,"159,160,161,162"
content-published--0013,[MARKETING] Marca Forte de Clube: Como Sair do Lugar-Comum,Marca Forte de Clube: Como Sair do Lugar-Comum,MARKETING,"O que diferencia uma marca de clube forte de um escudo bonito. Falamos de identidade, narrativa, posicionamento e consistência em todos os pontos de contato com torcedores, mídia e mercado.",,Bold minimalist typography over football geometric background with green accents.,Planejado,,9/4/2026,
content-published--0014,[MARKETING] Matchday Inteligente: Como Transformar Jogo em Experiência que Gera Receita,Matchday Inteligente: Como Transformar Jogo em Experiência que Gera Receita,MARKETING,"Jogo em casa não precisa ser só 90 minutos de bola rolando. Como pensar ativações, serviços, comunicação e experiências que façam o torcedor querer voltar e gastar mais, sem virar parque temático vazio.",,Minimal stadium geometry with LED green accents.,Planejado,,23/3/2026,
content-published--0015,[MARKETING] Fan Engagement Sem Mágica: O Que Realmente Funciona,Fan Engagement Sem Mágica: O Que Realmente Funciona,MARKETING,"Uma visão honesta sobre fan engagement: o que é buzz passageiro, o que gera relacionamento de longo prazo e como medir o impacto real das ações no comportamento do torcedor e na receita do clube.",,"Abstract fan silhouettes made of geometric lines, dynamic style.",Planejado,,6/4/2026,
content-published--0016,[MARKETING] Camisa de Futebol Como Ativo Bilionário: Muito Além do Uniforme,Camisa de Futebol Como Ativo Bilionário: Muito Além do Uniforme,MARKETING,"A camisa como ativo de marca, produto de desejo e plataforma de patrocínio. Discutimos design, narrativa, collabs, licenciamento e o que aprender com clubes que transformam camisa em máquina de receita.",,Minimal jersey abstract design with geometric shapes and neon edge.,Planejado,,26/3/2026,
content-published--0017,[MARKETING] Mascote Não é Só Brincadeira: Como Virar Ativo de Marca e Negócio,Mascote Não é Só Brincadeira: Como Virar Ativo de Marca e Negócio,MARKETING,"Um episódio sobre mascotes como ferramenta de relacionamento com crianças, famílias e patrocinadores. Como posicionar, usar em campanhas e transformar em personagem que agrega valor à marca.",,"Playful abstract mascot silhouette, clean editorial aesthetic.",Planejado,,13/4/2026,
content-published--0018,[NEGÓCIOS] Patrocínio Esportivo: Do Modelo de Tabela à Engenharia de Soluções de Negócio,Patrocínio Esportivo: Do Modelo de Tabela à Engenharia de Soluções de Negócio,NEGÓCIOS,"Como sair da lógica de “logo em camisa por X reais” e construir propostas de patrocínio baseadas em objetivos de marca, público, dados e entregas claras. Um guia para profissionalizar o discurso comercial do clube.",,"Handshake abstract shapes with football lines, clean executive design.",Publicado,"Medium Lucas Oaigen (Artigo), Instagram Brain Sports (Post), Instagram Lucas Oaigen (Story), Spotify Brain Sports (Podcast), LinkedIn Lucas Oaigen (Post)",19/1/2026,"121,134,135,136,137"
content-published--0019,[NEGÓCIOS] Quanto Vale o Seu Patrocínio de Verdade?,Quanto Vale o Seu Patrocínio de Verdade?,NEGÓCIOS,"Episódio sobre a lógica de precificação de ativos: exposição, audiência, contexto, performance digital e intangíveis. Como fugir do chute, usar benchmarking e defender valor na mesa de negociação.",,Valuation chart abstract with football texture overlay.,Planejado,,12/3/2026,
content-published--0020,[NEGÓCIOS] Dentro da Cabeça do Patrocinador: Como Ele Decide Investir em um Clube,Dentro da Cabeça do Patrocinador: Como Ele Decide Investir em um Clube,NEGÓCIOS,"Em vez de só reclamar que “ninguém quer investir”, entendemos o lado das marcas. Quais riscos elas veem, o que pesa na decisão, como elas medem retorno e que tipo de proposta costuma chamar atenção.",,Minimal icons representing brands over football geometry.,Planejado,,12/3/2026,
content-published--0021,[NEGÓCIOS] O Lado B2B do Futebol: Como Usar o Clube para Gerar Negócios Entre Empresas,O Lado B2B do Futebol: Como Usar o Clube para Gerar Negócios Entre Empresas,NEGÓCIOS,"O clube como plataforma de relacionamento B2B: eventos, camarotes, conteúdo e conexões. Como estruturar esse tipo de entrega para patrocinadores e transformar relacionamento em pipeline de negócios.",,Business network geometric lines connected to pitch shapes.,Planejado,,16/3/2026,
content-published--0022,[NEGÓCIOS] Patrocínio na Base: Por Que as Marcas Deveriam Olhar para Categorias de Formação,Patrocínio na Base: Por Que as Marcas Deveriam Olhar para Categorias de Formação,NEGÓCIOS,"Falamos da base como vitrine, laboratório de conteúdo e território de propósito. Como estruturar propostas, tipos de marcas que fazem sentido e cuidados para não transformar o projeto em mera exposição de logo.",,Youth football abstract with modern digital textures.,Planejado,,30/3/2026,
